_id,name,option,score,content
658ff48411c27a0fb900d287,lk11**,선택 옵션 Lanolin 2 Count,5,건조할때 로션이랑 같이 섞어발라도\n좋을것 같아요 
658ff48411c27a0fb900d288,didv****,선택 옵션 Lanolin 2 Count,5,제형이 끈적거리지만 보습에 너무 좋은 제품입니다.
658ff48411c27a0fb900d289,ghru*****,선택 옵션 Lanolin 2 Count,3,유명한 크림이죠 국내보다 싸게 사서 좋아요
658ff48411c27a0fb900d28a,jyj9*****************,선택 옵션 Lanolin 2 Count,5,유두보호하는데 좋다고 해서 샀어요 잘 발라볼게요~~~ 감사합니다~~ㅎㅎㅎ
658ff48411c27a0fb900d28b,자몽하니비,선택 옵션 Lanolin 2 Count,4,전에쓰던건 괜찮았는데 이번껀 바를때마다 얼굴에 붉은기가 올라와서 안쓰고있어여 ㅠ
658ff49811c27a0fb900d28f,caty*****,선택 옵션\nGravy Boat with Stand,5,레녹스 홀리데이 \n모으는재미가 쏠~쏠~\n\n장바구니에 3달째 담아두고 \n딜떠서 구매했어요\n\n메이덴ㅡ챠이나\n미젠 바라지도않아\n제발 챠이나말고 인도네시아라도 와주길\n속으로 빌어보지만 나의바램은 늘 꽝~ \n차이나당첨 \n원박스에 비닐봉다리 한번씌워 배송\n11마존은 최고지만\n배송 포장이 더 개선된다면\n더욱더 최고가 될 듯 싶은 \n개인적인 생각 바램~???!!!\n\n쏘스ㆍ카레ㆍ스프 담기좋아요\n\n전 테이블세팅때 \n포크 수저 놓기도해요\n필요한사람 빼쓰는거죠~ ㅋㅋ\n\n색상 컨디션 상\n그림 삐뚤이없이\n금테두리마감도 상\n아래받침부분 거친면없어 상\n접시받침 상\n그릇 컨디션 상\n세일할때 쿠폰써서 저렴하게 구매 \n급한것 아니면 여유를 가지고\n아마존딜 기다리셨다 구매하셔서\n모두 득탬 하시길~요~
658ff49811c27a0fb900d290,caty*****,"선택 옵션\nAccent Plate, Gingerbread",5,더보기
658ff49811c27a0fb900d291,caty*****,선택 옵션\nSalt & Pepper Set,5,레녹스 홀리데이 \n말해뭐해 너무귀엽져~\n신랑이주문한상품 깨져서 배송왔어요\n내가 더 아프다 마음이\n다리가 많이 아파보임 ㅠ\n상담 잘 해. 주셔서 감사합니다\n그래서 제 구매\n며덴ㅡ챠이나\n색상ㅡ주문할때마다 색상이 약간씩 다름\n           (약간더노람)\n           뭐~ 제조국 차이니 어쩔수없다 이해함\n마감ㅡ뒤 아래 받침부분 다행이 거친부분없이 매끈 매끈\n          테두리 라인 깔끔\n개인 앞 접시로 장식으로 \n과일 쿠키정도 놓고 사용하기 좋음\n떡볶이 먹어봤는데 앞뒤옆 질질 흐름\n먹으면서 닦다 휴지 많이 씀
658ff49811c27a0fb900d292,caty*****,선택 옵션\nDivided Bowl,4,더보기
658ff49811c27a0fb900d293,caty*****,"선택 옵션\nCandy Dish, Sleigh",5,딜떠서 구매했어요\n레녹스 홀리데이\n소금ㆍ후추 \n깨짐없이 배송 잘 옴\n허나 여전히\n원박스에 딸랑 비님포장\n종이상자 찌그러짐\n나쓰기엔문제없으나 선물은 못줌\n메덴ㅡ차이나\n색상ㅡ약간 어두운색상\n무늬ㅡ삐뚤이없이 양호\n마감ㅡ밑바닥아래 거친면없음\n           (식탁유리글킴없음)\n마개ㅡ고무마개 잘 맞음\n           (빼고끼우기에불편함없음)\n\n배송와 풀어보면 색상이 다 틀려요\n이점 득도하셔야해요 ㅠ\n\n가격대 널뛰니 시간을 가지시고 \n구매하시면\n득탬 하실듯
658ff49811c27a0fb900d294,caty*****,선택 옵션\nBread Tray,5,더보기
658ff49811c27a0fb900d295,caty*****,선택 옵션\nStackable Bowls,4,레녹스 홀리데이 모으는 중이라\n딜떠서 구매했어요\n\n배송은 세상에 원박스에 비닐포장\n\n메덴 차이나이구요\n\n색상은 사진대로 그림은 삐뚤이없이 예뻐요\n가지고있는 그릇 색상과 같아 다행이에요\n\n마감은 금테두리 깨끗하지못하고 삐뚤 삐뚤 이에요\n그릇안쪽으로 넘나들어 수전증있는듯 싶어요\n\n바닥밑면 마감처리 보통이고 약간 거칠어요\n식탁에 놓았을때 바닥균형 불일치로\n미세하게 흔들림 있어요\n이번 뽑기는 꽝 이에요\n나눔접시라 쓰임은 좋은데\n그릇꺼낼때마다 불안해요\n\n다행히 깨지진 않았지만 바닥에 놓았을때 \n그네타듯 까딱까딱 \n미세하게 흔들리는게 신경쓰여요\n\n딜ㆍ핫딜 떳다고 다 저렴한건 아니에요\n아마존 가격대 변동 심하니 \n장바구니에 담아두고 \n시간을가지고 구매하셔야해요\n 
658ff49811c27a0fb900d296,caty*****,선택 옵션\nStackable Bowls,5,더보기
